WorkerId,Input.model1_summary1,Input.model2_summary1,Input.model1_summary2,Input.model2_summary2,Input.model1_summary3,Input.model2_summary3,Input.model1_summary4,Input.model2_summary4,Input.model1_summary5,Input.model2_summary5,Input.id1,Input.id2,Input.id3,Input.id4,Input.id5,Answer.pref1,Answer.pref2,Answer.pref3,Answer.pref4,Answer.pref5
2,Hong Kong's Mui Thomas has a rare genetic condition that leaves the skin on her face and body red raw and open to infection.,"Mui Thomas, a 22-year-old woman from Hong Kong, was born with a rare genetic condition called Harlequin ichthyosis, which causes her skin to be red, dry, and flaky. Despite facing challenges and bullying because of her appearance, she has overcome her struggles and is now a successful public speaker and advocate for people with visible differences. Mui's story has inspired many and she will be speaking at a TEDx talk and possibly participating in a fashion show for people with visible differences.","Hong Kong woman Mui Thomas, 22, has a rare genetic condition that leaves the skin on her face and body red raw and open to infection.","Mui Thomas, a 22-year-old woman from Hong Kong, was born with Harlequin ichthyosis, a rare genetic condition that affects her skin. Despite facing challenges and bullying because of her appearance, she has found success in her job and as a public speaker, sharing her story and inspiring others. She will be giving a TEDx talk and may even participate in a fashion show for people with visible differences.","Mui Thomas, a young woman living in Hong Kong, was born with a rare genetic condition called Harlequin ichthyosis that affects her skin. Despite facing challenges growing up, including cyberbullying, she has found success in her career and is now using her experiences to educate and inspire others. She will be speaking at a TEDx talk and may even participate in a fashion show for people with visible differences. Mui's story is both inspirational and a reminder of the importance of acceptance and understanding.","Mui Thomas, 22, was born with a rare genetic condition that leaves the skin on her face and body red raw and open to infection.","Mui Thomas, a 22-year-old with a rare skin condition called Harlequin ichthyosis, has overcome bullying and suicidal thoughts to become a successful public speaker and advocate for people with visible differences. She was abandoned at birth and adopted by a loving family in Hong Kong, where she now lives and works. She will be speaking at a TEDx talk and may even participate in a fashion show for people with visible differences.",Hong Kong's Mui Thomas has a rare genetic condition that leaves the skin on her face and body red raw and open to infection.,Mui Thomas was born with a rare genetic condition that leaves her skin red raw and open to infection.,"Mui Thomas, a 22-year-old woman from Hong Kong, was born with a rare genetic condition called Harlequin ichthyosis which causes her skin to be red, raw, and scaly. Despite facing challenges and bullying because of her appearance, Mui has found success in her career and is now using her experiences to educate and inspire others. She will be speaking at a TEDx talk and may even participate in a fashion show for people with visible differences.",1,1,2,2,1,1,1,-1,-1,1
10,A passenger is killed when a Lamborghini sports car crashes at Walt Disney World Speedway.,"A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred at the Exotic Driving Experience, a chance to drive luxury cars on a racetrack. The company operating the experience expressed their condolences and also operates the Richard Petty Driving Experience.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway on Sunday, killing a passenger, the Florida Highway Patrol said.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing the passenger and injuring the driver. The crash occurred during the Exotic Driving Experience, where people can drive their dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.","A Lamborghini sports car crashed into a guardrail at the Exotic Driving Experience at Walt Disney World Speedway, killing a passenger, the Florida Highway Patrol said.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred during the Exotic Driving Experience, a chance for people to drive their dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.",A passenger was killed in a crash at the Exotic Driving Experience at Walt Disney World Speedway.,"A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred at the Exotic Driving Experience, a chance to drive dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.","A passenger was killed and the driver was injured when a Lamborghini crashed into a guardrail at Walt Disney World Speedway. The crash occurred during the Exotic Driving Experience, where people can drive their dream cars on a racetrack. The company operating the experience expressed their condolences and also operates the Richard Petty Driving Experience.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway on Sunday. The crash occurred at the Exotic Driving Experience. The 36-year-old passenger, Gary Terry of Davenport, Florida, was pronounced dead at the scene.",1,1,1,1,2,1,1,1,1,-1
11,A passenger is killed when a Lamborghini sports car crashes at Walt Disney World Speedway.,"A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred at the Exotic Driving Experience, a chance to drive luxury cars on a racetrack. The company operating the experience expressed their condolences and also operates the Richard Petty Driving Experience.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway on Sunday, killing a passenger, the Florida Highway Patrol said.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing the passenger and injuring the driver. The crash occurred during the Exotic Driving Experience, where people can drive their dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.","A Lamborghini sports car crashed into a guardrail at the Exotic Driving Experience at Walt Disney World Speedway, killing a passenger, the Florida Highway Patrol said.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred during the Exotic Driving Experience, a chance for people to drive their dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.",A passenger was killed in a crash at the Exotic Driving Experience at Walt Disney World Speedway.,"A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred at the Exotic Driving Experience, a chance to drive dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.","A passenger was killed and the driver was injured when a Lamborghini crashed into a guardrail at Walt Disney World Speedway. The crash occurred during the Exotic Driving Experience, where people can drive their dream cars on a racetrack. The company operating the experience expressed their condolences and also operates the Richard Petty Driving Experience.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway on Sunday. The crash occurred at the Exotic Driving Experience. The 36-year-old passenger, Gary Terry of Davenport, Florida, was pronounced dead at the scene.",1,1,1,1,2,1,1,1,1,1
2,A passenger is killed when a Lamborghini sports car crashes at Walt Disney World Speedway.,"A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred at the Exotic Driving Experience, a chance to drive luxury cars on a racetrack. The company operating the experience expressed their condolences and also operates the Richard Petty Driving Experience.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway on Sunday, killing a passenger, the Florida Highway Patrol said.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing the passenger and injuring the driver. The crash occurred during the Exotic Driving Experience, where people can drive their dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.","A Lamborghini sports car crashed into a guardrail at the Exotic Driving Experience at Walt Disney World Speedway, killing a passenger, the Florida Highway Patrol said.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred during the Exotic Driving Experience, a chance for people to drive their dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.",A passenger was killed in a crash at the Exotic Driving Experience at Walt Disney World Speedway.,"A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway, killing a passenger and injuring the driver. The crash occurred at the Exotic Driving Experience, a chance to drive dream cars on a racetrack. The company operating the experience expressed their condolences for the tragic accident.","A passenger was killed and the driver was injured when a Lamborghini crashed into a guardrail at Walt Disney World Speedway. The crash occurred during the Exotic Driving Experience, where people can drive their dream cars on a racetrack. The company operating the experience expressed their condolences and also operates the Richard Petty Driving Experience.","A Lamborghini sports car crashed into a guardrail at Walt Disney World Speedway on Sunday. The crash occurred at the Exotic Driving Experience. The 36-year-old passenger, Gary Terry of Davenport, Florida, was pronounced dead at the scene.",1,1,1,1,2,1,1,1,1,-1
2,"Rebecca Francis, a hunter who has appeared on the NBC Sports Network show ""Eye of the Hunter,"" received backlash after a photo of her posing with a dead giraffe was tweeted by comedian Ricky Gervais. Francis responded by saying she was asked to ""preserve"" the giraffe for the local people and does not regret her actions. She has taken many animals with a bow and hopes to achieve the ""Super 10"" hunting accomplishment.",The photo of Rebecca Francis posing next to a dead giraffe has been shared thousands of times in the past three days.,"Rebecca Francis, a hunter and TV personality, received backlash after a photo of her posing with a dead giraffe resurfaced. Comedian Ricky Gervais tweeted the photo, sparking outrage and threats towards Francis. She defended her actions, stating that the giraffe was killed for the benefit of the local community. Francis has a history of hunting and has achieved various hunting milestones.",The photo of Rebecca Francis lying next to a dead giraffe has gone viral.,"Rebecca Francis, a hunter and TV personality, received backlash on social media after a photo of her posing with a dead giraffe resurfaced. Comedian Ricky Gervais tweeted the photo, sparking outrage and threats towards Francis. She defended her actions, stating that she was asked by locals to hunt the giraffe for food and survival. Francis has a history of hunting various animals and has achieved the ""Full Curl of North American sheep"" with a bow.",A photo of a woman posing next to a dead giraffe has caused a stir online.,"Rebecca Francis, a hunter and outdoor enthusiast, received backlash and threats after a photo of her posing with a dead giraffe resurfaced on social media. Francis defended her actions, stating that the giraffe was killed to provide food and resources for locals. She has a history of hunting various animals and has achieved several accolades in the hunting community.","Five years ago, Rebecca Francis posed for a photo while lying next to a dead giraffe. This week, she got threatened for her action. The trouble started Monday, when comedian Ricky Gervais tweeted the photo with a question.","Rebecca Francis, a hunter and TV personality, received backlash and threats after a photo of her posing with a dead giraffe resurfaced on social media. Francis defended her actions, stating that the giraffe was old and dying and that she provided the locals with food and other resources. She has a history of hunting various animals with both a bow and rifle and has appeared on outdoor lifestyle shows.","Five years ago, Rebecca Francis posed for a photo while lying next to a dead giraffe. This week, she got threatened for her action.",2,2,2,2,2,-1,-1,-1,-1,-1
7,"Rebecca Francis, a hunter who has appeared on the NBC Sports Network show ""Eye of the Hunter,"" received backlash after a photo of her posing with a dead giraffe was tweeted by comedian Ricky Gervais. Francis responded by saying she was asked to ""preserve"" the giraffe for the local people and does not regret her actions. She has taken many animals with a bow and hopes to achieve the ""Super 10"" hunting accomplishment.",The photo of Rebecca Francis posing next to a dead giraffe has been shared thousands of times in the past three days.,"Rebecca Francis, a hunter and TV personality, received backlash after a photo of her posing with a dead giraffe resurfaced. Comedian Ricky Gervais tweeted the photo, sparking outrage and threats towards Francis. She defended her actions, stating that the giraffe was killed for the benefit of the local community. Francis has a history of hunting and has achieved various hunting milestones.",The photo of Rebecca Francis lying next to a dead giraffe has gone viral.,"Rebecca Francis, a hunter and TV personality, received backlash on social media after a photo of her posing with a dead giraffe resurfaced. Comedian Ricky Gervais tweeted the photo, sparking outrage and threats towards Francis. She defended her actions, stating that she was asked by locals to hunt the giraffe for food and survival. Francis has a history of hunting various animals and has achieved the ""Full Curl of North American sheep"" with a bow.",A photo of a woman posing next to a dead giraffe has caused a stir online.,"Rebecca Francis, a hunter and outdoor enthusiast, received backlash and threats after a photo of her posing with a dead giraffe resurfaced on social media. Francis defended her actions, stating that the giraffe was killed to provide food and resources for locals. She has a history of hunting various animals and has achieved several accolades in the hunting community.","Five years ago, Rebecca Francis posed for a photo while lying next to a dead giraffe. This week, she got threatened for her action. The trouble started Monday, when comedian Ricky Gervais tweeted the photo with a question.","Rebecca Francis, a hunter and TV personality, received backlash and threats after a photo of her posing with a dead giraffe resurfaced on social media. Francis defended her actions, stating that the giraffe was old and dying and that she provided the locals with food and other resources. She has a history of hunting various animals with both a bow and rifle and has appeared on outdoor lifestyle shows.","Five years ago, Rebecca Francis posed for a photo while lying next to a dead giraffe. This week, she got threatened for her action.",2,2,2,2,2,-1,-1,-1,-1,-1
8,"Rebecca Francis, a hunter who has appeared on the NBC Sports Network show ""Eye of the Hunter,"" received backlash after a photo of her posing with a dead giraffe was tweeted by comedian Ricky Gervais. Francis responded by saying she was asked to ""preserve"" the giraffe for the local people and does not regret her actions. She has taken many animals with a bow and hopes to achieve the ""Super 10"" hunting accomplishment.",The photo of Rebecca Francis posing next to a dead giraffe has been shared thousands of times in the past three days.,"Rebecca Francis, a hunter and TV personality, received backlash after a photo of her posing with a dead giraffe resurfaced. Comedian Ricky Gervais tweeted the photo, sparking outrage and threats towards Francis. She defended her actions, stating that the giraffe was killed for the benefit of the local community. Francis has a history of hunting and has achieved various hunting milestones.",The photo of Rebecca Francis lying next to a dead giraffe has gone viral.,"Rebecca Francis, a hunter and TV personality, received backlash on social media after a photo of her posing with a dead giraffe resurfaced. Comedian Ricky Gervais tweeted the photo, sparking outrage and threats towards Francis. She defended her actions, stating that she was asked by locals to hunt the giraffe for food and survival. Francis has a history of hunting various animals and has achieved the ""Full Curl of North American sheep"" with a bow.",A photo of a woman posing next to a dead giraffe has caused a stir online.,"Rebecca Francis, a hunter and outdoor enthusiast, received backlash and threats after a photo of her posing with a dead giraffe resurfaced on social media. Francis defended her actions, stating that the giraffe was killed to provide food and resources for locals. She has a history of hunting various animals and has achieved several accolades in the hunting community.","Five years ago, Rebecca Francis posed for a photo while lying next to a dead giraffe. This week, she got threatened for her action. The trouble started Monday, when comedian Ricky Gervais tweeted the photo with a question.","Rebecca Francis, a hunter and TV personality, received backlash and threats after a photo of her posing with a dead giraffe resurfaced on social media. Francis defended her actions, stating that the giraffe was old and dying and that she provided the locals with food and other resources. She has a history of hunting various animals with both a bow and rifle and has appeared on outdoor lifestyle shows.","Five years ago, Rebecca Francis posed for a photo while lying next to a dead giraffe. This week, she got threatened for her action.",2,2,2,2,2,-1,-1,-1,-1,-1
1,"The article discusses the work of photographer Ernst Haas, who was known for his role in both art and film. Haas captured stunning and memorable images on movie sets, showcasing his unique style and talent. His work is being featured in a new book, ""Ernst Haas: On Set,"" which aims to bring attention to his impressive legacy.",The work of Ernst Haas is so striking.,"Ernst Haas, a renowned photojournalist and member of Magnum Photos, was also a regular on movie sets in the 1950s. His work captured the artificiality of film and the talent of the stars and directors he worked with. A new book, ""Ernst Haas: On Set,"" showcases his often overlooked and forgotten movie photography, reminding people of his mastery in the field.","Photographer Ernst Haas, a member of Magnum Photos, took film stills.","The article discusses the work of photographer Ernst Haas, who was known for his photojournalism and movie stills. He was a member of Magnum Photos and had a unique style that captured the artificiality of film sets. The article also highlights a new book featuring Haas' movie photography, which aims to bring attention to his talent and legacy.","Photographer Ernst Haas, one of the 20th century's great photojournalists, was also a regular on movie sets.","The article discusses the work of Ernst Haas, a renowned photojournalist and member of Magnum Photos, who was also known for his photography on movie sets. His images capture both the glamour and artificiality of the film industry, and his work is being highlighted in a new book. Haas' photographs are praised for their unique style and ability to capture the essence of a film.","Ernst Haas, one of the 20th century's great photojournalists and image-makers, was also a regular on movie sets.","The article discusses the work of photographer Ernst Haas, who was known for his artful film stills. Despite being celebrated during his lifetime, Haas is not as well-known today. A new book, ""Ernst Haas: On Set,"" showcases his work on movie sets, which was an important source of income for him and allowed him to establish relationships within the film industry. Haas had a unique eye for capturing both the drama and artificiality of film work.","Photographer Ernst Haas spent a great deal of time on movie sets, and his work is now being published in a new book.",2,2,2,2,2,-1,-1,-1,-1,-1
7,"The article discusses the work of photographer Ernst Haas, who was known for his role in both art and film. Haas captured stunning and memorable images on movie sets, showcasing his unique style and talent. His work is being featured in a new book, ""Ernst Haas: On Set,"" which aims to bring attention to his impressive legacy.",The work of Ernst Haas is so striking.,"Ernst Haas, a renowned photojournalist and member of Magnum Photos, was also a regular on movie sets in the 1950s. His work captured the artificiality of film and the talent of the stars and directors he worked with. A new book, ""Ernst Haas: On Set,"" showcases his often overlooked and forgotten movie photography, reminding people of his mastery in the field.","Photographer Ernst Haas, a member of Magnum Photos, took film stills.","The article discusses the work of photographer Ernst Haas, who was known for his photojournalism and movie stills. He was a member of Magnum Photos and had a unique style that captured the artificiality of film sets. The article also highlights a new book featuring Haas' movie photography, which aims to bring attention to his talent and legacy.","Photographer Ernst Haas, one of the 20th century's great photojournalists, was also a regular on movie sets.","The article discusses the work of Ernst Haas, a renowned photojournalist and member of Magnum Photos, who was also known for his photography on movie sets. His images capture both the glamour and artificiality of the film industry, and his work is being highlighted in a new book. Haas' photographs are praised for their unique style and ability to capture the essence of a film.","Ernst Haas, one of the 20th century's great photojournalists and image-makers, was also a regular on movie sets.","The article discusses the work of photographer Ernst Haas, who was known for his artful film stills. Despite being celebrated during his lifetime, Haas is not as well-known today. A new book, ""Ernst Haas: On Set,"" showcases his work on movie sets, which was an important source of income for him and allowed him to establish relationships within the film industry. Haas had a unique eye for capturing both the drama and artificiality of film work.","Photographer Ernst Haas spent a great deal of time on movie sets, and his work is now being published in a new book.",2,2,2,2,2,-1,-1,-1,-1,-1
8,"The article discusses the work of photographer Ernst Haas, who was known for his role in both art and film. Haas captured stunning and memorable images on movie sets, showcasing his unique style and talent. His work is being featured in a new book, ""Ernst Haas: On Set,"" which aims to bring attention to his impressive legacy.",The work of Ernst Haas is so striking.,"Ernst Haas, a renowned photojournalist and member of Magnum Photos, was also a regular on movie sets in the 1950s. His work captured the artificiality of film and the talent of the stars and directors he worked with. A new book, ""Ernst Haas: On Set,"" showcases his often overlooked and forgotten movie photography, reminding people of his mastery in the field.","Photographer Ernst Haas, a member of Magnum Photos, took film stills.","The article discusses the work of photographer Ernst Haas, who was known for his photojournalism and movie stills. He was a member of Magnum Photos and had a unique style that captured the artificiality of film sets. The article also highlights a new book featuring Haas' movie photography, which aims to bring attention to his talent and legacy.","Photographer Ernst Haas, one of the 20th century's great photojournalists, was also a regular on movie sets.","The article discusses the work of Ernst Haas, a renowned photojournalist and member of Magnum Photos, who was also known for his photography on movie sets. His images capture both the glamour and artificiality of the film industry, and his work is being highlighted in a new book. Haas' photographs are praised for their unique style and ability to capture the essence of a film.","Ernst Haas, one of the 20th century's great photojournalists and image-makers, was also a regular on movie sets.","The article discusses the work of photographer Ernst Haas, who was known for his artful film stills. Despite being celebrated during his lifetime, Haas is not as well-known today. A new book, ""Ernst Haas: On Set,"" showcases his work on movie sets, which was an important source of income for him and allowed him to establish relationships within the film industry. Haas had a unique eye for capturing both the drama and artificiality of film work.","Photographer Ernst Haas spent a great deal of time on movie sets, and his work is now being published in a new book.",2,2,2,2,2,-1,-1,-1,-1,-1
10,"""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts.","The final month of ""The Late Show with David Letterman"" will feature a star-studded lineup of guests, including Oprah Winfrey, George Clooney, and Bill Murray. Other notable guests include Michael Keaton, who shared a stage with Letterman in the past, and Steve Martin, who has been a frequent guest on the show. Letterman's last show will air on May 20, after 33 years as a late-night host. Stephen Colbert will take over as the new host on September 8.","The ""Late Show"" announced some of the guests for David Letterman's final month of broadcasts.","The final month of ""The Late Show with David Letterman"" will feature a star-studded lineup of guests, including Oprah Winfrey, George Clooney, and Howard Stern. Other notable guests include Michael Keaton and Bill Murray, who have a history with Letterman. The talk show host's last episode will air on May 20, and Stephen Colbert will take over in September.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano. On Tuesday, ""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts. The last ""Late Show"" will air Wednesday, May 20. Among the notables are Oprah Winfrey, with whom Letterman has had an on-and-off faux feud for years; Clooney, who","The final month of ""The Late Show with David Letterman"" will feature guests such as Oprah Winfrey, George Clooney, and Howard Stern. Other notable appearances include Michael Keaton and Bill Murray, who have a history with Letterman. Letterman's last show will air on May 20, after 33 years as a late-night host. Stephen Colbert will take over the show in September.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano.","David Letterman's final month of broadcasts on ""The Late Show"" will include appearances from notable guests such as Oprah Winfrey, George Clooney, Howard Stern, and Steve Martin. Other guests, like Michael Keaton and Bill Murray, have a special connection to Letterman from his early days on television. Letterman has been a late-night host for 33 years and will be passing the torch to Stephen Colbert on September 8.","The final month of ""The Late Show with David Letterman"" has been announced, with guests such as Oprah Winfrey, George Clooney, and Jerry Seinfeld scheduled to appear. Other notable guests include Michael Keaton and Bill Murray, who have a history with Letterman. After 33 years as a late-night host, Letterman's last show will air on May 20, with Stephen Colbert taking over on September 8.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano. On Tuesday, ""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts. The last ""Late Show"" will air Wednesday, May 20.",1,1,1,1,2,1,1,1,1,-1
11,"""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts.","The final month of ""The Late Show with David Letterman"" will feature a star-studded lineup of guests, including Oprah Winfrey, George Clooney, and Bill Murray. Other notable guests include Michael Keaton, who shared a stage with Letterman in the past, and Steve Martin, who has been a frequent guest on the show. Letterman's last show will air on May 20, after 33 years as a late-night host. Stephen Colbert will take over as the new host on September 8.","The ""Late Show"" announced some of the guests for David Letterman's final month of broadcasts.","The final month of ""The Late Show with David Letterman"" will feature a star-studded lineup of guests, including Oprah Winfrey, George Clooney, and Howard Stern. Other notable guests include Michael Keaton and Bill Murray, who have a history with Letterman. The talk show host's last episode will air on May 20, and Stephen Colbert will take over in September.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano. On Tuesday, ""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts. The last ""Late Show"" will air Wednesday, May 20. Among the notables are Oprah Winfrey, with whom Letterman has had an on-and-off faux feud for years; Clooney, who","The final month of ""The Late Show with David Letterman"" will feature guests such as Oprah Winfrey, George Clooney, and Howard Stern. Other notable appearances include Michael Keaton and Bill Murray, who have a history with Letterman. Letterman's last show will air on May 20, after 33 years as a late-night host. Stephen Colbert will take over the show in September.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano.","David Letterman's final month of broadcasts on ""The Late Show"" will include appearances from notable guests such as Oprah Winfrey, George Clooney, Howard Stern, and Steve Martin. Other guests, like Michael Keaton and Bill Murray, have a special connection to Letterman from his early days on television. Letterman has been a late-night host for 33 years and will be passing the torch to Stephen Colbert on September 8.","The final month of ""The Late Show with David Letterman"" has been announced, with guests such as Oprah Winfrey, George Clooney, and Jerry Seinfeld scheduled to appear. Other notable guests include Michael Keaton and Bill Murray, who have a history with Letterman. After 33 years as a late-night host, Letterman's last show will air on May 20, with Stephen Colbert taking over on September 8.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano. On Tuesday, ""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts. The last ""Late Show"" will air Wednesday, May 20.",1,1,1,1,2,1,1,0,1,-1
2,"""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts.","The final month of ""The Late Show with David Letterman"" will feature a star-studded lineup of guests, including Oprah Winfrey, George Clooney, and Bill Murray. Other notable guests include Michael Keaton, who shared a stage with Letterman in the past, and Steve Martin, who has been a frequent guest on the show. Letterman's last show will air on May 20, after 33 years as a late-night host. Stephen Colbert will take over as the new host on September 8.","The ""Late Show"" announced some of the guests for David Letterman's final month of broadcasts.","The final month of ""The Late Show with David Letterman"" will feature a star-studded lineup of guests, including Oprah Winfrey, George Clooney, and Howard Stern. Other notable guests include Michael Keaton and Bill Murray, who have a history with Letterman. The talk show host's last episode will air on May 20, and Stephen Colbert will take over in September.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano. On Tuesday, ""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts. The last ""Late Show"" will air Wednesday, May 20. Among the notables are Oprah Winfrey, with whom Letterman has had an on-and-off faux feud for years; Clooney, who","The final month of ""The Late Show with David Letterman"" will feature guests such as Oprah Winfrey, George Clooney, and Howard Stern. Other notable appearances include Michael Keaton and Bill Murray, who have a history with Letterman. Letterman's last show will air on May 20, after 33 years as a late-night host. Stephen Colbert will take over the show in September.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano.","David Letterman's final month of broadcasts on ""The Late Show"" will include appearances from notable guests such as Oprah Winfrey, George Clooney, Howard Stern, and Steve Martin. Other guests, like Michael Keaton and Bill Murray, have a special connection to Letterman from his early days on television. Letterman has been a late-night host for 33 years and will be passing the torch to Stephen Colbert on September 8.","The final month of ""The Late Show with David Letterman"" has been announced, with guests such as Oprah Winfrey, George Clooney, and Jerry Seinfeld scheduled to appear. Other notable guests include Michael Keaton and Bill Murray, who have a history with Letterman. After 33 years as a late-night host, Letterman's last show will air on May 20, with Stephen Colbert taking over on September 8.","Oprah's in there. So's Bill Murray, George Clooney, Scarlett Johansson, Jerry Seinfeld, Howard Stern, Tina Fey, Michael Keaton and Ray Romano. On Tuesday, ""The Late Show with David Letterman"" announced some of the guests for the talk show host's final month of broadcasts. The last ""Late Show"" will air Wednesday, May 20.",1,1,1,1,2,1,1,1,1,-1
2,"Michael Rapiejko was a New York police officer from 2003 to 2006. In 2005, Rapiejko was one of the defendants in an excessive force lawsuit, court documents show.","An Arizona police officer who intentionally hit an armed suspect with his car had previously faced an excessive force lawsuit in New York. The officer resigned from the NYPD in 2006 and settled the lawsuit for $20,000. The suspect in the Arizona incident survived and is facing multiple charges. The police chief defended the officer's actions, but the suspect's attorney believes it was excessive force.",An Arizona police officer who intentionally hit an armed suspect with his car was previously involved in an excessive force lawsuit in New York. The officer's actions have sparked debate about the use of force by police. The suspect survived and is facing multiple charges.,"The Arizona police officer who intentionally slammed his car into an armed suspect previously faced an excessive force lawsuit in New York, according to court documents.","The Arizona police officer who intentionally slammed his car into an armed suspect previously faced an excessive force lawsuit in New York, according to court documents.","An Arizona police officer who intentionally hit an armed suspect with his patrol car has faced a previous excessive force lawsuit in New York. The officer, Michael Rapiejko, resigned from the NYPD in 2006 and there is no record of disciplinary action against him. The incident in Arizona has sparked debate about the use of force by police. The suspect, Mario Valencia, survived and is facing multiple charges.",A police officer in Arizona who intentionally hit an armed suspect with his car had previously faced an excessive force lawsuit in New York. The suspect survived and was hospitalized before being charged with multiple crimes. The officer's actions have sparked debate about the use of force by police.,"Michael Rapiejko, who was with the New York Police Department from 2003 to 2006, was one of the defendants in a suit filed by a man who alleged that he was handcuffed and choked in front of his family.","Michael Rapiejko, the Arizona police officer who intentionally slammed his car into an armed suspect, had a lawsuit filed against him in New York, according to court documents.","An Arizona police officer who intentionally hit an armed suspect with his car previously faced an excessive force lawsuit in New York. The officer, Michael Rapiejko, had pointed a gun and threatened to shoot a man during an arrest in 2005. The charges against the man were dropped and the lawsuit was settled for $20,000. In the recent incident, the suspect survived and has been charged with multiple crimes. The police department has defended the officer's actions, saying deadly force was authorized.",1,2,1,2,1,1,-1,1,-1,1
